Week number,Start Date,Location (county),Latitude,Longitude,AvgTemp,AvgPressure,AvgWindSpeed,Total number of birds testing positive
Week 49 (2020),11/30/2020,Oxfordshire,51.7613,1.2464,10.12843166,1015.098261,19.80559404,1.0
Week 49 (2020),11/30/2020,Northumberland,52.4,0.7,5.507142857499998,1008.8499995000002,10.577323215000003,1.0
Week 49 (2020),11/30/2020,Lincolnshire,53.2344,0.538,5.507142857499998,1008.8499995000002,18.02857143,1.0
Week 49 (2020),11/30/2020,Yorkshire,53.9915,1.537,10.12843166,1015.098261,19.80559404,1.0
Week 49 (2020),11/30/2020,Norfolk,52.6309,1.2974,5.507142857499998,1008.8499995000002,12.54285714,1.0
Week 49 (2020),11/30/2020,Carmarthenshire,51.86,4.0558,5.542857143,1008.8499995000002,25.342556534999996,1.0
Week 49 (2020),11/30/2020,Warwickshire,52.2671,1.4689,5.507142857499998,1008.8499995000002,14.12857143,1.0
Week 50 (2020),12/7/2020,Worcestershire,52.1936,2.2216,10.12843166,1015.098261,19.80559404,3.5
Week 50 (2020),12/7/2020,Aberdeen,57.1497,2.0943,10.12843166,1015.098261,19.80559404,3.0
Week 50 (2020),12/7/2020,Fife,56.2081,3.149,10.12843166,1015.098261,19.80559404,1.0
Week 50 (2020),12/7/2020,Dorset,50.7488,2.3445,5.507142857499998,1008.8499995000002,18.52857143,3.5
Week 50 (2020),12/7/2020,Dorset,50.7488,2.3445,5.507142857499998,1008.8499995000002,18.52857143,1.0
Week 50 (2020),12/7/2020,Essex,51.776,0.179,5.507142857499998,1008.8499995000002,11.81428571,1.0
Week 50 (2020),12/7/2020,Cambridgeshire,52.2053,0.1218,5.507142857499998,1008.8499995000002,11.88571429,3.0
Week 50 (2020),12/7/2020,Cambridgeshire,52.2053,0.1218,5.507142857499998,1008.8499995000002,11.88571429,1.0
Week 50 (2020),12/7/2020,Cambridgeshire,52.2053,0.1218,5.507142857499998,1008.8499995000002,11.88571429,1.0
Week 50 (2020),12/7/2020,Lancashire,53.76,2.7,7.3,1008.8499995000002,25.342556534999996,3.0
Week 50 (2020),12/7/2020,Warwickshire,52.2671,1.4689,5.507142857499998,1008.8499995000002,14.05714286,2.0
Week 50 (2020),12/7/2020,Lancashire,53.76,2.7,7.3,1008.8499995000002,25.342556534999996,2.0
Week 50 (2020),12/7/2020,Essex,51.776,0.179,5.507142857499998,1008.8499995000002,11.81428571,1.0
