Week number,Start Date,Location (county),Latitude,Longitude,AvgTemp,AvgPressure,AvgWindSpeed,Total number of birds testing positive
Week 18 (2023),5/1/2023,Hertfordshire,-0.44927202813290923,-0.9982078853046595,0.9197794445926839,1.1498718936709922,-1.677266642746151,3.0
Week 18 (2023),5/1/2023,East Sussex,-0.7449633549150417,-0.9340501792114696,1.0365677664990192,1.2086956466653813,-2.5,1.0
Week 18 (2023),5/1/2023,Gloucestershire,-0.4390179774542362,0.04132104454685088,0.0,0.0,0.0,3.5
Week 19 (2023),5/8/2023,West Sussex,-0.7467052289085362,-0.855299539170507,1.1241590066513978,0.9553019929727933,-2.5,2.0
Week 19 (2023),5/8/2023,Nottinghamshire,-0.03286554704703103,-0.5926779313876089,0.0,0.0,0.0,3.0
Week 19 (2023),5/8/2023,Nottinghamshire,-0.03286554704703103,-0.5926779313876089,0.0,0.0,0.0,2.0
Week 19 (2023),5/8/2023,Lincolnshire,0.011305748184177851,-0.8292370711725551,0.8394874723240493,0.9010032171492103,-0.8026251494412554,1.0
Week 19 (2023),5/8/2023,Carmarthenshire,-0.44039833043021065,0.9719918074756781,1.328538568710112,0.6476095634566222,0.0913668189836641,1.0
Week 19 (2023),5/8/2023,East Riding of Yorkshire,0.20803891280770198,-0.8830005120327702,0.0,0.0,0.0,3.0
Week 19 (2023),5/8/2023,Cambridgeshire,-0.32691359647681356,-1.0423451100870458,1.1387575475283755,0.8693290104376278,-1.5340731236070984,1.0
Week 19 (2023),5/8/2023,Leicestershire,-0.18506589542183097,-0.5210957501280084,1.2263487876807544,0.8376548037260453,-2.339052904312657,1.0
Week 19 (2023),5/8/2023,Leicestershire,-0.18506589542183097,-0.5210957501280084,1.2263487876807544,0.8376548037260453,-2.339052904312657,3.0
Week 19 (2023),5/8/2023,Leicestershire,-0.18506589542183097,-0.5210957501280084,1.2263487876807544,0.8376548037260453,-2.339052904312657,3.0
Week 19 (2023),5/8/2023,North Yorkshire,0.3286554704703056,-0.439068100358423,0.0,0.0,0.0,3.0
Week 19 (2023),5/8/2023,Warwickshire,-0.30660268840174926,-0.35258576548899134,1.0438670343827632,0.9100531714908227,-1.5727740738471452,1.0
Week 19 (2023),5/8/2023,Greater Manchester,0.09228645610806158,0.04357398873527892,0.0,0.0,0.0,1.0
Week 20 (2023),5/15/2023,Greater Manchester,0.09228645610806158,0.04357398873527892,0.0,0.0,0.0,3.0
Week 20 (2023),5/15/2023,South Yorkshire,0.09859664114109075,-0.42201740911418345,0.0,0.0,0.0,1.0
Week 20 (2023),5/15/2023,South Yorkshire,0.09859664114109075,-0.42201740911418345,0.0,0.0,0.0,2.0
Week 20 (2023),5/15/2023,Hampshire,-0.7040786143885376,-0.434920634920635,0.5986115606276358,2.0209127366102924,-0.6826521993626035,3.5
Week 20 (2023),5/15/2023,Cornwall,-0.8861866105761333,1.277521761392729,0.6497064511423141,2.0209127366102924,-1.5147226484870748,1.0
Week 20 (2023),5/15/2023,Anglesey,0.021691261051038656,1.1123911930363541,0.0,0.0,0.0,2.0
Week 20 (2023),5/15/2023,Cheshire,0.0,0.17537122375832043,0.0,0.0,0.0,3.5
